Title
60.9039,27.1081,"fianj","02954","Anjalankoski", 22.8079,58.5868,32.0558,63.0619
61.7673,23.0764,"fiika","02941","Ikaalinen", 18.9641,59.3273,27.8666,64.0656
61.907,29.7977,"fikes","02995","Kesälahti", 25.1828,59.6769,35.1061,63.9578
60.1285,21.6434,"fikor","02933","Korpo", 17.8159,57.6482,26.0715,62.4818
62.8626,27.3815,"fikuo","02918","Kuopio", 22.8018,60.55,32.7065,65.003
67.1391,26.8969,"filuo","02840","Luosto", 21.6424,64.7989,33.2042,69.2772
63.8379,29.4489,"finur","","Nurmes", 24.5705,61.5914,35.1284,65.8936
62.3045,25.4401,"fipet","02775","Petäjävesi", 21.0822,59.9331,30.5102,64.518
64.7749,26.3189,"fiuta","02870","Utajärvi", 21.5329,62.424,31.967,66.9468
60.2706,24.869,"fivan","02975","Vantaa", 20.8008,57.8865,29.5533,62.5106
63.1048,23.8209,"fivim","02925","Vimpeli", 19.4836,60.6847,28.9077,65.3718
